TCONST  ,PRIMARYTITLE  ,STARTYEAR ,GENRES 
tt0015724,Dama de noche,1993,"Drama,Mystery,Romance"
tt0059900,"Wenn du groß bist, lieber Adam",1990,"Drama,Fantasy"
tt0064994,Larks on a String,1990,"Comedy,Drama,Romance"
tt0065188,"Vojtech, receny sirotek",1990,NULL
tt0073481,Old Times,1991,Drama
tt0077432,Dip huet kei bing,1991,"Action,Drama"
tt0078006,Norman and the Killer,1991,"Horror,Short"
tt0080217,Hana no mahoutsukai Mary Bell,1992,"Animation,Comedy"
tt0081008,Kommen und gehen,1994,Documentary
tt0081145,Me and the Kid,1993,"Comedy,Crime,Drama"
tt0081436,Rosa Heimat - eine Landillusion,1990,NULL
tt0081721,Vincent and Me,1990,"Drama,Family,Fantasy"
tt0081801,Die Zeugin,1990,Crime
tt0084015,Goodbye Paradise,1991,Drama
tt0084551,The Buddhist Spell,1993,"Comedy,Drama,Fantasy"
tt0084870,Memories and Confessions,1993,"Biography,Documentary,History"
tt0088267,Tian di xuan men,1991,"Action,Comedy,Fantasy"
tt0088283,Tod durch elektrischen Strom,1990,"Crime,Drama"
tt0088472,An Actor's Life for Me,1991,Comedy
tt0088473,Adventures in Wonderland,1992,"Comedy,Family,Fantasy"
tt0088655,AD Police Files,1990,"Animation,Crime,Sci-Fi"
tt0088656,A.D. Police File 2: The Ripper,1990,"Animation,Crime,Sci-Fi"
tt0088657,AD Police Files 3: The Man Who Bites His Tongue,1990,"Animation,Crime,Sci-Fi"
tt0089043,The Double Burden: Three Generations of Working Mothers,1992,Documentary
tt0089749,Otaku no video,1991,"Animation,Comedy,Drama"
tt0090869,Commando terrorista,1990,Action
tt0090008,Shattered Dreams,1990,Drama
tt0090144,Le temps des bouffons,1993,"Documentary,Short"
tt0090665,Halfaouine: Boy of the Terraces,1990,"Comedy,Drama"
tt0090780,Bulls of a Feather,1992,"Animation,Comedy,Family"
tt0091516,Michigan mélodie,1990,NULL
tt0090785,Call Me Mr. Brown,1990,Crime
tt0091899,The Scarlet Scorpion,1990,Comedy
tt0092024,El sueño de Tánger,1991,NULL
tt0092382,Mother Goose Stories,1990,"Family,Fantasy"
tt0092507,Abhimanyu,1991,"Crime,Drama,Musical"
tt0092443,Runaway with the Rich and Famous,1991,Family
tt0092926,Dragon Hunt,1990,Action
tt0092589,Astonished,1990,Mystery
tt0093081,Geld,1990,NULL
tt0093082,Das Gelächter des Suppenhuhns,1990,Comedy
tt0093210,La hora 24,1990,"Drama,Fantasy"
tt0093099,Going Equipped,1990,"Animation,Crime,Documentary"
tt0093211,Horrorshow,1990,"Horror,Short"
tt0093309,The Ultimate Vampire,1991,"Comedy,Horror"
tt0093662,Object of Desire,1990,Drama
tt0093613,New York's Finest,1990,Comedy
tt0093989,Slaughter in Xian,1990,NULL
tt0094004,Soldier of Fortune,1990,"Action,Thriller,War"
tt0094376,Middle Man,1990,Action
tt0094045,Storme: Lady of the Jewel Box,1991,Documentary
tt0094609,Das achte Gebot,1991,Documentary
tt0094547,Sidewalks Entertainment,1994,Talk-Show
tt0094666,Any Man's Death,1990,Drama
tt0094688,Augen... Blicke,1992,NULL
tt0094808,Zwei Brüder,1994,"Crime,Mystery"
tt0094830,Camino largo a Tijuana,1991,"Action,Drama"
tt0094841,The House of Smiles,1991,"Drama,Romance"
tt0094900,Committed,1991,Drama
tt0094857,Fatal Termination,1990,"Action,Thriller"
tt0094874,Chut si kei bing,1990,"Comedy,Fantasy"
tt0094877,Le château du pendu,1990,Crime
tt0094908,Cool Blue,1990,"Comedy,Romance,Thriller"
tt0094926,Curse of the Crystal Eye,1991,Action
tt0094943,A Dancer,1991,NULL
tt0095041,Do domu,1990,NULL
tt0094997,Demonia,1990,"Horror,Mystery"
tt0095080,Edens Lost,1991,"Drama,History"
tt0095006,Destroying Angel,1990,Comedy
tt0095083,Der Einbruch,1991,"Drama,Thriller"
tt0095229,God morgon Gerda Gök,1993,"Animation,Family,Short"
tt0095095,Emperor of the Bronx,1990,"Action,Crime"
tt0095248,La goutte d'or,1990,Drama
tt0095290,Hei hai ba wang hua,1990,"Action,Crime,Drama"
tt0095394,Jericho,1991,"Adventure,Drama"
tt0095401,Riders,1993,NULL
tt0095455,Klassäzämekunft,1990,"Crime,Drama"
tt0095450,King of Chess,1991,Drama
tt0095480,Ladder of Swords,1990,"Crime,Drama,Thriller"
tt0095571,The Making of Monsters,1991,Short
tt0095670,La mujer de tu vida,1990,"Comedy,Drama"
tt0095671,La mujer fría,1990,"Comedy,Drama"
tt0095672,La mujer infiel,1990,"Comedy,Drama"
tt0095673,La mujer oriental,1990,"Comedy,Drama"
tt0095674,La mujer perdida,1990,"Comedy,Drama"
tt0095821,Caged in Paradiso,1990,"Action,Drama"
tt0095761,La nuit de l'océan,1992,Drama
tt0095783,One Last Chance,1990,"Comedy,Crime,Drama"
tt0095831,Los pasos de Ana,1991,NULL
tt0095840,Payback,1990,"Action,Comedy,Crime"
tt0095902,Primo Baby,1990,"Adventure,Drama,Family"
tt0095878,Pledge Night,1990,"Comedy,Horror"
tt0097820,Maman,1990,NULL
tt0096025,Sailors Don't Cry,1990,"Drama,Romance"
tt0096038,Saturday Night Special,1992,Adult
tt0096075,Sexpot,1990,Comedy
tt0096090,Leung sheung ching yuen,1993,Romance
tt0096174,Stela,1990,Drama
tt0096177,Still Life: The Fine Art of Murder,1990,"Mystery,Thriller"
