 TCONST                                    ,DIRECTORS ,PRIMARYTITLE  ,ORIGINALTITLE,STARTYEAR,GENRES
tt0025013,nm0674398,World Crisis,Crisis mundial,1937,NULL
tt0025224,"nm3858972,nm0116307",Havets melodi,Havets melodi,1935,NULL
tt0026192,nm0102424,Celos,Celos,1936,Drama
tt0026254,nm0166730,Cyclone of the Saddle,Cyclone of the Saddle,1935,"Action,Adventure,Western"
tt0026258,nm0064415,Dandy Dick,Dandy Dick,1935,Comedy
tt0026291,nm0294137,Double Exposure,Double Exposure,1935,"Comedy,Short"
tt0026295,nm0391750,Drawing Rumors,Drawing Rumors,1935,Short
tt0026347,\N,Festejos do Carnaval,Festejos do Carnaval,1935,Documentary
tt0026391,nm0454734,Full Circle,Full Circle,1935,"Crime,Drama"
tt0026413,nm0337586,The Girl from 10th Avenue,The Girl from 10th Avenue,1935,Drama
tt0026441,nm0005733,El Guadalquivir,El Guadalquivir,1935,"Documentary,Short"
tt0026442,nm0578933,Guadiana,Guadiana,1936,NULL
tt0026447,"nm0076653,nm0372959",Gypsy Night,Gypsy Night,1935,"Musical,Romance,Short"
tt0026493,nm0107854,Hop-a-Long Cassidy,Hop-a-Long Cassidy,1935,Western
tt0026556,nm0869665,Justin de Marseille,Justin de Marseille,1935,"Crime,Drama"
tt0026566,nm0595271,Khoon Ka Khoon,Khoon Ka Khoon,1935,Drama
tt0026581,nm0363235,Trouble Backstairs,Krach im Hinterhaus,1935,"Comedy,Romance"
tt0026658,nm0726729,La luce del mondo,La luce del mondo,1935,NULL
tt0026665,nm0202852,Madrid,Madrid,1935,"Documentary,Short"
tt0026741,"nm0584778,nm0930293",Murder in Harlem,Murder in Harlem,1935,"Drama,Mystery"
tt0026756,nm0564971,The Mystery Man,The Mystery Man,1935,"Action,Adventure,Crime"
tt0026770,\N,Neve em Azeitão,Neve em Azeitão,1935,Documentary
tt0026792,nm0480676,A Notorious Gentleman,A Notorious Gentleman,1935,Drama
tt0026808,nm0737053,Old Faithful,Old Faithful,1935,Drama
tt0026883,nm0182036,Porto,Porto,1935,Documentary
tt0026979,nm0627438,Miss Trevelez,La señorita de Trevélez,1936,Drama
tt0026983,"nm0390226,nm0681635",She,She,1935,"Adventure,Fantasy,Romance"
tt0027012,nm0062759,The Small Man,The Small Man,1936,Drama
tt0027034,nm0115669,Spring Tonic,Spring Tonic,1935,NULL
tt0027044,nm0342417,Stone of Silver Creek,Stone of Silver Creek,1935,"Adventure,Drama,Western"
tt0027045,nm0281487,Stop That Noise,Stop That Noise,1935,"Animation,Musical,Short"
tt0027046,nm0127511,Storm Over the Andes,Storm Over the Andes,1935,"Action,Adventure,Drama"
tt0027060,nm0385171,Super-Speed,Super-Speed,1935,"Drama,Sci-Fi"
tt0027147,nm0878338,Two for Tonight,Two for Tonight,1935,"Comedy,Musical"
tt0027217,nm0292134,Wild Mustang,Wild Mustang,1935,"Action,Adventure,Western"
tt0027320,nm0649097,Ave Maria,Ave Maria,1936,Short
tt0027333,nm0500837,Love or a Kingdom,Barbara Radziwillówna,1936,"Drama,History,Romance"
