,STARTYEAR,GENRES ,DIRECTORS 
771,1940.0,Comedy,nm0674398
842,1939.0,,nm0205760
845,1939.0,Comedy,"nm0293260,nm0397678"
866,1939.0,"Crime,Drama,Mystery",nm0825596
870,1940.0,Drama,nm0657535
894,1939.0,Western,nm0627864
898,1939.0,Western,nm0007944
899,1939.0,Comedy,nm0627087
900,1939.0,Western,nm0397227
901,1939.0,War,nm0627438
902,1939.0,"Animation,Comedy,Family",nm0000813
903,1939.0,"Crime,Drama,Thriller",nm0282984
904,1939.0,"Animation,Comedy,Family",nm0454790
905,1939.0,Western,nm0384616
906,1939.0,,nm0652302
907,1939.0,Drama,nm0219068
908,1939.0,Drama,"nm0243295,nm0782597"
909,1939.0,"Comedy,Musical","nm0894022,nm0674398"
910,1939.0,"Crime,Drama,Romance",nm0780009
912,1939.0,Comedy,nm0477702
913,1939.0,"Animation,Comedy,Family","nm0281487,nm0460667"
914,1939.0,Western,"nm0257638,nm0936823"
915,1939.0,Mystery,nm0631438
916,1939.0,"Comedy,Crime,Mystery",nm0166058
917,1939.0,"Drama,Romance","nm0472406,nm0134898"
918,1939.0,Drama,nm0776838
919,1939.0,"Adventure,Drama,Romance",nm0113284
920,1939.0,Western,nm0916125
921,1939.0,"Crime,Drama",nm0902025
922,1939.0,,nm0844161
923,1939.0,"Comedy,Short",nm0744023
924,1939.0,"Comedy,Short,Western",nm0520419
925,1939.0,Comedy,nm0112897
926,1939.0,"Adventure,Drama,Western",nm0783509
928,1939.0,,nm0902006
929,1939.0,"Drama,War",nm0062759
930,1940.0,"Biography,Drama",nm0509327
931,1940.0,"Crime,Drama,Short",nm0628149
932,1940.0,"Comedy,Romance",nm0940453
933,1940.0,,nm0688031
934,1940.0,"Crime,Mystery,Thriller",nm0631438
935,1940.0,"Animation,Comedy,Family",nm0000813
936,1940.0,Drama,nm0216941
937,1940.0,"Animation,Comedy,Family",nm0455741
938,1940.0,"Comedy,Drama,Mystery","nm0861703,nm0940499"
939,1940.0,"Drama,Mystery",nm0107854
940,1940.0,"Adventure,Comedy,Music",nm0523893
941,1940.0,Short,nm0555303
942,1939.0,"Drama,Family",nm0172151
943,1940.0,"Comedy,Drama,Mystery",nm0758508
944,1940.0,"Action,Adventure,Crime",nm0107854
945,1940.0,"Drama,Western",nm0915007
946,1940.0,"Animation,Comedy,Family",nm0163332
947,1940.0,"Animation,Family,Short",nm0314671
948,1940.0,"Action,Adventure,History",nm0002031
949,1940.0,"Animation,Comedy,Family",nm0293989
950,1940.0,"Action,Comedy,Music",nm0823864
951,1940.0,"Comedy,Short",nm0520419
952,1940.0,"Comedy,Musical",nm0017893
953,1941.0,,nm0350583
954,1940.0,"Animation,Short","nm0124722,nm0625934"
955,1940.0,"Crime,Mystery",nm0523893
956,1941.0,"Animation,Comedy,Short",nm0101038
957,1940.0,Drama,nm0454024
958,1941.0,"Animation,Comedy,Short",nm0281487
959,1941.0,"Animation,Comedy,Family",nm0000813
960,1941.0,Western,nm0627864
961,1941.0,"Action,Adventure,Western",nm0627864
962,1941.0,"Comedy,Musical,War",nm0523893
963,1941.0,"Animation,Comedy,Family",nm0314671
964,1941.0,"Animation,Comedy,Family",nm0293989
965,1941.0,"Adventure,Comedy,Crime",nm0712639
966,1941.0,"Animation,Comedy,Family",nm0005062
967,1941.0,Comedy,"nm0909434,nm0909436"
968,1941.0,"Animation,Short",nm0363414
969,1941.0,"Animation,Comedy,Family",nm0293989
970,1941.0,Comedy,nm0718321
971,1941.0,"Action,Comedy,Drama",nm0523994
972,1941.0,"Animation,Comedy,Family",nm0281487
974,1941.0,"Crime,Drama,Thriller",nm0437356
975,1941.0,Family,nm0159725
976,1941.0,Comedy,nm0730905
977,1941.0,"Animation,Comedy,Family",nm0005062
978,1941.0,"Comedy,Drama,Romance",nm0294094
979,1941.0,"Action,Comedy,Music",nm0437356
980,1941.0,Romance,nm0845290
981,1941.0,Comedy,nm0063246
982,1941.0,"Action,Adventure,Romance",nm0547446
983,1941.0,"Musical,Short",nm0529936
984,1941.0,Comedy,nm0448915
985,1941.0,"Animation,Comedy,Family","nm0564495,nm0163332"
986,1941.0,"Animation,Short",nm0876824
987,1941.0,"Action,Crime,Drama",nm0278272
988,1940.0,Comedy,nm0901874
989,1941.0,Musical,nm0006943
990,1941.0,"Animation,Comedy,Family",nm0005062
991,1941.0,Comedy,nm0484645
992,1941.0,"Drama,History,Romance",nm0531674
993,1941.0,"Action,Music,Western",nm0385171
994,1941.0,"Drama,Musical",nm0293260
