Accident_Index (NodeID),Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
1,-0.07502,51.452624,3,2,1,13-08-2014,4,22:41,6,30,4,1,1,1,1
2,-0.187947,51.341385,3,2,1,28-01-2014,3,18:50,6,30,4,2,2,1,1
3,0.194436,51.440784,3,2,1,21-02-2014,6,17:15,3,40,4,1,1,1,1
4,-0.726538,51.675217,3,2,1,22-04-2014,3,21:35,6,30,7,1,1,1,1
5,-1.111838,52.990218,3,3,1,05-11-2014,4,07:47,6,30,1,1,1,1,1
6,-1.300943,53.420285,2,2,1,17-03-2014,2,19:49,3,40,4,1,1,1,1
7,-1.64513,53.684593,3,2,6,30-10-2014,5,20:15,6,30,4,1,1,1,1
8,-1.09217,51.440329,3,2,3,06-02-2014,5,12:35,6,50,1,2,2,2,1
9,-2.748578,52.706158,3,1,1,15-08-2014,6,15:55,6,30,1,1,1,1,1
10,-1.360296,53.67319,3,1,1,28-06-2014,7,08:50,6,30,1,1,1,1,1
11,-2.07204,51.889516,2,2,1,19-04-2014,7,10:00,6,30,1,1,2,1,1
12,-3.693046,55.972478,3,2,3,18-09-2014,5,20:30,6,40,4,1,2,1,1
13,-2.228609,51.30886,3,1,1,27-02-2014,5,18:55,6,30,4,1,1,1,1
14,-2.361221,53.749766,3,2,1,17-11-2014,2,14:10,6,30,1,1,1,1,1
15,0.26401,50.780481,2,2,1,26-10-2014,1,15:10,6,30,1,1,1,1,1
16,-0.530316,51.493262,3,3,3,06-09-2014,7,11:28,3,70,1,1,1,1,1
17,-1.39348,52.010659,3,1,3,05-05-2014,2,00:10,6,60,6,1,1,2,1
18,-1.071263,53.962839,3,2,1,29-05-2014,5,16:40,6,30,1,1,1,1,1
19,-1.391518,50.82978,3,2,1,07-08-2014,5,20:05,6,30,1,1,1,1,2
20,-2.775947,55.435698,3,2,1,05-06-2014,5,15:19,6,30,1,1,1,1,1
21,-1.1595,52.623894,3,1,1,17-11-2014,2,16:00,6,30,1,1,1,1,1
22,-1.266121,53.696946,3,1,3,20-09-2014,7,09:50,7,30,1,1,1,2,1
23,0.634528,52.426289,3,3,6,10-04-2014,5,11:24,6,60,1,1,1,2,1
24,-2.089941,51.823258,3,2,2,18-11-2014,3,17:25,6,40,6,1,2,2,1
25,-1.227597,52.95496,3,2,2,26-02-2014,4,11:28,6,30,1,1,1,1,1
26,0.158153,51.467808,3,2,1,22-11-2014,7,16:16,6,30,1,1,1,1,1
27,-2.637221,53.653429,2,1,1,17-12-2014,4,17:05,6,30,4,2,2,1,1
28,-1.486414,53.389415,3,2,1,05-02-2014,4,08:38,6,20,1,1,2,1,1
29,-0.965443,51.008391,3,1,1,12-06-2014,5,15:30,6,30,1,1,1,2,1
30,-1.470468,52.920845,3,3,1,21-03-2014,6,10:00,3,30,1,1,1,1,1
31,-0.209506,52.597087,2,2,1,08-07-2014,3,08:20,3,70,1,1,1,2,1
32,-0.109376,53.230219,3,1,3,08-07-2014,3,12:30,6,60,1,1,1,2,2
33,-3.384396,53.108396,3,2,3,20-10-2014,2,09:20,6,60,1,5,2,2,1
34,-1.775892,51.164034,3,2,1,18-05-2014,1,17:03,6,60,1,1,1,2,1
35,-1.103383,51.277497,3,2,1,29-10-2014,4,17:21,7,60,1,2,2,2,2
36,-1.364613,53.408964,3,2,1,20-06-2014,6,16:30,6,40,1,9,1,1,1
37,0.913684,51.88302,3,2,1,12-10-2014,1,17:06,6,30,1,1,1,1,1
38,-2.76216,56.719865,2,1,1,09-08-2014,7,16:20,3,70,1,1,1,2,1
39,-0.018701,51.436937,3,1,1,14-02-2014,6,11:23,6,30,1,2,2,1,1
40,-2.346858,53.515309,2,1,1,19-12-2014,6,22:10,6,30,4,1,2,1,1
41,-1.335441,50.913979,3,1,1,09-11-2014,1,17:53,6,30,4,2,2,1,1
42,-3.939189,56.126891,3,1,1,21-01-2014,3,16:25,6,30,4,3,2,1,2
43,-2.207937,51.31558,3,1,1,12-07-2014,7,20:57,6,40,1,1,2,1,1
